product_no,index,stock,price_change,color,size,other_option
6168,5,17,45000,블루,L(100),
6168,6,11,45000,블루,XL(105),
6168,7,18,45000,블루,2XL(110),
6168,8,15,45000,블루,3XL(115),
6168,9,20,45000,라임,3XS(75),
6168,10,7,45000,라임,2XS(80),
6168,11,5,45000,라임,XS(85),
6168,12,3,45000,라임,S(90),
6168,13,19,45000,라임,M(95),
6168,14,17,45000,라임,L(100),
6168,15,7,45000,라임,XL(105),
6168,16,16,45000,라임,2XL(110),
6168,17,15,45000,라임,3XL(115),
6168,18,15,45000,그레이,3XS(75),
6168,19,14,45000,그레이,2XS(80),
6168,20,16,45000,그레이,XS(85),
6168,21,14,45000,그레이,S(90),
6168,22,14,45000,그레이,M(95),
6168,23,2,45000,그레이,L(100),
6168,24,5,45000,그레이,XL(105),
6168,25,10,45000,그레이,2XL(110),
6168,26,3,45000,그레이,3XL(115),
6000,0,9,33900,블루,2XS(80),
6000,1,10,33900,블루,XS(85),
6000,2,11,33900,블루,S(90),
6000,3,16,33900,블루,M(95),
6000,4,6,33900,블루,L(100),
6000,5,5,33900,블루,XL(105),
6000,6,2,33900,블루,2XL(110),
6000,7,3,33900,레드,2XS(80),
6000,8,18,33900,레드,XS(85),
6000,9,3,33900,레드,S(90),
6000,10,8,33900,레드,M(95),
6000,11,2,33900,레드,L(100),
6000,12,7,33900,레드,XL(105),
6000,13,15,33900,레드,2XL(110),
6000,14,14,33900,그린,2XS(80),
6000,15,17,33900,그린,XS(85),
6000,16,6,33900,그린,S(90),
6000,17,16,33900,그린,M(95),
6000,18,3,33900,그린,L(100),
6000,19,6,33900,그린,XL(105),
6000,20,17,33900,그린,2XL(110),
5908,0,0,41900,BLACK,2XS(80),
5908,1,0,41900,BLACK,XS(85),
5908,2,0,41900,BLACK,S(90),
5908,3,0,41900,BLACK,M(95),
5908,4,0,41900,BLACK,L(100),
5908,5,0,41900,BLACK,XL(105),
5908,6,0,41900,BLACK,2XL(110),
5908,7,0,41900,NAVY,2XS(80),
5908,8,0,41900,NAVY,XS(85),
5908,9,0,41900,NAVY,S(90),
5908,10,0,41900,NAVY,M(95),
5908,11,0,41900,NAVY,L(100),
5908,12,0,41900,NAVY,XL(105),
5908,13,0,41900,NAVY,2XL(110),
5907,0,16,41900,BLACK,2XS(80),
5907,1,6,41900,BLACK,XS(85),
5907,2,10,41900,BLACK,S(90),
5907,3,18,41900,BLACK,M(95),
5907,4,14,41900,BLACK,L(100),
5907,5,18,41900,BLACK,XL(105),
5907,6,8,41900,BLACK,2XL(110),
5907,7,0,41900,R.BLUE,2XS(80),
5907,8,0,41900,R.BLUE,XS(85),
5907,9,0,41900,R.BLUE,S(90),
5907,10,0,41900,R.BLUE,M(95),
5907,11,0,41900,R.BLUE,L(100),
5907,12,0,41900,R.BLUE,XL(105),
5907,13,0,41900,R.BLUE,2XL(110),
5907,14,0,41900,NAVY,2XS(80),
5907,15,0,41900,NAVY,XS(85),
5907,16,0,41900,NAVY,S(90),
5907,17,0,41900,NAVY,M(95),
5907,18,0,41900,NAVY,L(100),
5907,19,0,41900,NAVY,XL(105),
5907,20,0,41900,NAVY,2XL(110),
5906,0,5,41900,LIME,2XS(80),
5906,1,14,41900,LIME,XS(85),
5906,2,15,41900,LIME,S(90),
5906,3,3,41900,LIME,M(95),
5906,4,19,41900,LIME,L(100),
5906,5,2,41900,LIME,XL(105),
5906,6,8,41900,LIME,2XL(110),
5906,7,0,41900,ORANGE,2XS(80),
5906,8,0,41900,ORANGE,XS(85),
5906,9,0,41900,ORANGE,S(90),
5906,10,0,41900,ORANGE,M(95),
5906,11,0,41900,ORANGE,L(100),
5906,12,0,41900,ORANGE,XL(105),
5906,13,0,41900,ORANGE,2XL(110),
5906,14,0,41900,A.BLUE,2XS(80),
5906,15,0,41900,A.BLUE,XS(85),
5906,16,0,41900,A.BLUE,S(90),
5906,17,0,41900,A.BLUE,M(95),
5906,18,0,41900,A.BLUE,L(100),
